UniqueIdentifier,Bank,Date,Amount
bca-50b3c8cbd46c7e6f0d2fcb48aa186235,bca,2025-03-08,-92900
bca-b21c7577457ec2d29917a5a550a985fb,bca,2025-03-12,-35600
bca-bbca5ed210182f6c96171d4863da4abe,bca,2025-03-06,60000
bca-1d3d812ea88756d76f5d6133516bcea6,bca,2025-03-14,-83500
bca-81a2e734e9f1330d4730bd8cdd587e50,bca,2025-03-08,-58600
bca-83e49dcebe643ec4a38b35cf97d4a43a,bca,2025-03-08,-11000
bca-a9f5ced974be3e9faedefc9740ee39e5,bca,2025-03-06,13100
bca-13975dc67c15a567e8ff34ad37eb1d56,bca,2025-03-11,6000
bca-fa040b9eebdc9e8aea35678d7ef1dd51,bca,2025-03-06,-52300
bca-14645ad12ae19a41c6f18fe84c597eb0,bca,2025-03-10,8700
bca-c3cb7f6c200f015584d4410240567abd,bca,2025-03-07,30900
bca-6c313089c18b7fa5b085cc0b2f38f6c9,bca,2025-03-09,-4600
bca-d6a55823e3cb98c3155b14db967d9361,bca,2025-03-12,-92300
bca-c7449c85ecedb95440719c18df98aa25,bca,2025-03-12,35200
bca-f51f911cfb6463e961d3d892c6dd5033,bca,2025-03-06,68800
bca-737ddedd50706b27d8a095366861eb45,bca,2025-03-08,-94300
bca-93b88915f90a3721a6bc2b4990d73aa4,bca,2025-03-06,-68600
bca-70006dc3daa19418aebd472ba0d54d10,bca,2025-03-06,-93700
bca-0f39a8affe17acaddf63bc6ac7e166ce,bca,2025-03-07,-98900
bca-85fbafc588eb594a4c72b6154d387bd4,bca,2025-03-09,-43000
bca-2f6a636d28fa04641c875729fcfc9759,bca,2025-03-05,39800
bca-a2ee571baedd4e5f290f8c353a302f63,bca,2025-03-08,-59800
bca-3bffe5d78d52f510cf0296780fb29ae1,bca,2025-03-06,34800
bca-bbea0bbcc50193dfe2f651024c6bdc3b,bca,2025-03-07,-98600
bca-79e8f3fe6809be760d8a15e50b98c8aa,bca,2025-03-09,75900
bca-84ebfbc335ba14024373fd7db32378d3,bca,2025-03-12,-8500
bca-66d2ace372ba037c614fc31d1f5983e0,bca,2025-03-13,17000
bca-6efd9233044d9b17dad113c27f463c42,bca,2025-03-07,-11500
bca-43dc53ce3c716dc7f3242f2b563fee7c,bca,2025-03-05,-95600
bca-7849d4c3075bbf12f126e8b9054bba5a,bca,2025-03-13,55500
bca-3bd52e369268218feaac0e46b31ef218,bca,2025-03-13,47600
bca-9a06f919d676ffb3a4b99b4f6395c03a,bca,2025-03-14,-61100
bca-62443438e3711034d9342e898a3d9b59,bca,2025-03-09,-62900
bca-8ec58f900a3c438d563ed75b9346a709,bca,2025-03-09,62100
bca-ce580b9b88f7cd3ab84feba0e568bb2f,bca,2025-03-14,55000
bca-99c558456ce1fae79388ea3c880268ff,bca,2025-03-05,-25800
bca-cf9aa91a0e9975690496bcef02223573,bca,2025-03-10,-99600
bca-0cc80c9dd8b2ba3ca3a7e8950404a6cb,bca,2025-03-06,-61400
bca-2e774779393df30c041cd45e4941271b,bca,2025-03-14,63600
bca-57576fa78fe1f16a9fba0103c1e42296,bca,2025-03-14,-9300
bca-825ddac1b2440e146f409e150514484f,bca,2025-03-12,41500
bca-03701438a37c6e75939a767e7df077c3,bca,2025-03-06,68900
bca-4a3be3af353e981283066c354c27834a,bca,2025-03-09,-7400
bca-b14fe490523452928374768892b5355e,bca,2025-03-11,63300
bca-78ee16ea392cbcfa0ce6901da294ff09,bca,2025-03-12,-99200
bca-ad5b5e10a3d99ca7b83356e1703ba83c,bca,2025-03-08,-12300
bca-e976c18aacb9d51bcf57aaf74e77f3aa,bca,2025-03-04,27900
bca-a1c3716a29e51835375f51da3ee08d3d,bca,2025-03-11,-69600
bca-fadb3039cad0fa5e148eb49384a35a49,bca,2025-03-07,-70000
bca-bcd9c8a3d9a37a8b44472c47f859d764,bca,2025-03-10,87700
bca-5c0b112ec4d786b4c01364db9276e284,bca,2025-03-07,-28500
bca-a4a2680ad81ad0f005cd09d4bae90040,bca,2025-03-13,94100
bca-586cba3d29719a792e25d7c7e7495e67,bca,2025-03-14,86000
bca-d797f1912af84699e6449b6e91aa92ff,bca,2025-03-09,-28500
bca-eb21c41b216d57304873d36c01f7da7e,bca,2025-03-10,-60100
bca-ba49b7ea17af7e54329537d752ee21b3,bca,2025-03-11,80400
bca-8370376231242a2648772e510410f28d,bca,2025-03-12,67100
bca-31c9f564d32adb040a5f7404029018a4,bca,2025-03-08,-47900
