UniqueIdentifier,Bank,Date,Amount
bni-aa0f30a7030a4c0dc166131c7a2c312c,bni,2025-03-11,-46900
bni-e14352cc251c44d9e78ff51a69a22144,bni,2025-03-07,53900
bni-d00e34386d27d91880d72dcfeb4334cd,bni,2025-03-07,-7500
bni-5f1ae80d9a18a2af65e3a105ae682bdd,bni,2025-03-13,-14300
bni-47244fa16dae8ec3956e72858f4a1027,bni,2025-03-04,91000
bni-edb939e2c18005ac1b69ed28d0d4a545,bni,2025-03-08,-96800
bni-4b3d71d269ed6ced83121b652753e587,bni,2025-03-08,-27400
bni-585fd8b7ce2d275fe4340fdc02e16cfa,bni,2025-03-07,-93600
bni-435734230abfb235736a6bcb3ea4e763,bni,2025-03-07,5300
bni-192219abecb880867aa59c00f8ccc69e,bni,2025-03-14,22400
bni-cb3ccadeed114b9493dd40e63a97cd0e,bni,2025-03-09,-64400
bni-1bb9a5b44d1acfbe6e25f7530fcd0146,bni,2025-03-05,-98300
bni-dcff5d2126786e714422addf26c33e91,bni,2025-03-05,-94100
bni-4bc8f2339effbdc36f999a96e87b1dba,bni,2025-03-04,11100
bni-c624794737024a7f5ea46810b9598e09,bni,2025-03-13,4500
bni-fc7bca347d503c28b8c1d4dfb42b91ea,bni,2025-03-10,14300
bni-2184c8aef3e0946846e3a9f5fd09000f,bni,2025-03-10,95900
bni-588907a1d9e8a769e449e1e8587a2ba3,bni,2025-03-09,29700
bni-513dc3005cacf13ef25050c1a4239ece,bni,2025-03-09,49500
bni-55e4e3c89ce5d4c7f0cbd1df48c13f1f,bni,2025-03-13,-60500
bni-0f2a7bdde050679b4609e92f2711e202,bni,2025-03-08,99800
bni-64cf3ef1c032093870915ba56dfa3202,bni,2025-03-14,84500
bni-1b2692a27956097d7168163a5aece111,bni,2025-03-10,77700
bni-ce93c5cae815e64283caad4130c2e9a8,bni,2025-03-11,73600
bni-4dc4d42f13940968e199a48e82a13435,bni,2025-03-11,84300
bni-a96443b77a7d838ca23c9308de104c72,bni,2025-03-12,-25000
bni-20403f5dc00075fabf9dfc142bccf8cc,bni,2025-03-07,24800
bni-11456ee59c4cf6a124b1938599d2d0a9,bni,2025-03-08,-83800
bni-3157458d0fdfd6009c8d0f4bf96376a7,bni,2025-03-10,82000
bni-657a54c61910ceaf2a995f86bb6ebec1,bni,2025-03-07,-69900
bni-80706307037dbd392d8cff31e8a6ce35,bni,2025-03-06,-57600
bni-b3c09e35f2edce6ffa5a9d7aaf5c92d2,bni,2025-03-10,-68900
bni-787e4f292ec260fb5d65334f3576e6c8,bni,2025-03-10,-96100
bni-9369cea279e43b5e9e6b24bad646d6e2,bni,2025-03-14,58600
bni-9b77a45dab9b1c9e7f541bf3aa4f34cb,bni,2025-03-05,-98600
bni-72048c758e33187698911fcf00b92d2e,bni,2025-03-07,-59400
bni-d40f9a434cfa82ff0e86ff14617b9ed0,bni,2025-03-05,-85000
bni-d018f0b18acca4a3f6af9c9af759f5b1,bni,2025-03-08,-29900
bni-81c61efd694d13a301b905536b095097,bni,2025-03-06,-57000
bni-193c0290c4efc829dc585dcd97d99216,bni,2025-03-06,87200
bni-4685def5a533c5c0dc0a26440bf10954,bni,2025-03-09,-89400
bni-4be2a230d1d9d269b8c698e7abe4e619,bni,2025-03-11,55000
bni-740080e3de82089df9d1502eba1cb265,bni,2025-03-13,-77000
bni-29922bf69f3117a255fc6b352e5ac668,bni,2025-03-06,98500
bni-bdf6465b6a6a58ee936104c91ecac8a9,bni,2025-03-05,55100
bni-34654a85d013d1a4abdf4eeed0566040,bni,2025-03-14,-1300
bni-b4aaeee7156b5c94c29898635caf2a27,bni,2025-03-05,29700
