BCAUniqueIdentifier,BCADate,BCAAmount
bca-97715dd9a6b62d87f28ce17078ffce42,2024-08-20,15800
bca-ee26029093589289b82b90d8b0c38fd1,2024-11-12,-97500
bca-029b628894de008f8400a13d242ca851,2024-11-03,-91200
bca-db63658b4481bec2e3955978d4264d6b,2024-10-17,63900
bca-ddaf9cb4c47a620d530ac0aa0125ab69,2024-10-11,74800
bca-cc83071f23cc4f4b17b1bd06f5b0b17b,2024-10-09,23700
bca-05a9c21c5efb77551263fa0252cb75bc,2024-10-02,21900
bca-b7bd98e51ada93a887e393204b8d00d8,2024-09-25,72600
bca-e61f708eda8a78dd7c0aae29acb1f80b,2024-11-17,-5400
bca-a66c445b4ef8469ea323adccf57cdb28,2024-08-19,17300
bca-603dace808cec72219388bbc7ec8035a,2024-09-17,68100
bca-49c811c65b72c687036dc848865efc7d,2024-11-28,-45600
bca-ffb0a3b1c1e0f7f7d7db7c63bdea0f9d,2024-10-19,6200
bca-9dcdeddabb60ac7f949febaefa32e9b4,2024-08-20,9300
bca-252f76c2a485cc2f2541b3386817e4f8,2024-11-23,14300
bca-9e7d26e6a60e97de88158fbae84fc94a,2024-11-09,40000
bca-f772758ad4dd503e2357a5dcd4a0253b,2024-10-21,5200
bca-48db243fc45b518e6e99eac383eeb0a2,2024-12-07,44600
bca-b17fc9ff44a802b166fcea1ed072b968,2024-11-27,61200
bca-cf104b7ff4379fe9b45722e466bc08a0,2024-10-12,11100
bca-62f14e84738be30ca84c023e1150d9fc,2024-11-27,68100
bca-4450726de80c6e7410eaccd522c247e1,2024-11-19,80100
bca-48aad6becaa0ec5848b574cf7493993b,2024-12-08,56000
bca-659a5691c4181a5b7fd29b3ea598957b,2024-08-17,-88200
bca-942e39c54d9f4c0c885e007d64aa05a9,2024-08-21,4100
bca-86b63f9e8c10192e6c8c90a3e85e6f4d,2024-09-27,-47700
bca-e5242d0fbf2f9ce5c35892ad84a11841,2024-12-11,38900
bca-6d8d08ecbdd12b4352247439cc273f6a,2024-11-08,67400
bca-3f16620539fc445d49f636c8685fc239,2024-09-12,33000
bca-0f13104f3e111393964a93ea79de4f75,2024-10-24,-66300
bca-165c7b8ffe4da52722d411d68acf1ab7,2024-09-22,45500
bca-c5e765c86921c31cab0334426ec806c3,2024-12-07,72000
bca-fbba9d1d3ebeaf0a9c58bc2bf6dfdc03,2024-09-19,71800
bca-23ef1d04d5f720d4b9e1f0acd25e24a4,2024-12-09,80200
bca-cd740be8c6fb9b9bf56dfde70082525a,2024-09-26,53800
bca-1364892ed3d45cb79bf5003b41374110,2024-11-16,56400
bca-70d594482a72a6d178da1f443e0bf4ff,2024-11-30,5400
bca-2229339d5cf6e7b4d6fc9abe969f08d3,2024-11-15,92500
bca-3e299a0041581bd870ca57338d36b429,2024-10-06,43300
bca-23fff2a1d1e1ac2c61bb42c55f53392a,2024-12-07,-9100
bca-5a01587bf5b31823af96565daa6dbc61,2024-12-10,5500
bca-58ba6fa70329401f360837f2ebcd0b08,2024-10-12,81500
bca-fe8fa24b17fca787b0ea66e3610e8bba,2024-10-05,9700
bca-f8b3a827be33c0170da245ebf65c1701,2024-09-04,57200
bca-2f45ba66ccadece8e8ac2d06f305029a,2024-10-06,31000
bca-13eda4d695c1a7df60bc361578b48f0a,2024-08-28,33400
bca-dabea7b920a86b3ac20d687f8a1bcc63,2024-10-20,75900
bca-10b41fda1db73857a686f518b06d3827,2024-09-09,89600
bca-7237cbd1d3e79a59f352cf3965445459,2024-10-06,53300
bca-143483029ab59dc25b8e142f4b4f5f0b,2024-10-15,-45400
bca-987107b8129895c3303edc548c9397a1,2024-10-28,61000
bca-3f493fe74a085abe6821e0fca842a3bf,2024-10-14,-7200
bca-357628b9a9f6b8c803a18a0c360333ad,2024-11-07,-72300
bca-146abef95d68ef7b236cf3cafaae326f,2024-11-13,72500
bca-24237dda9b220958e3c44b182b8b9ff9,2024-09-16,70500
bca-6f9da8b31d38254205c66b33234681dd,2024-11-25,20300
bca-a2dc4d977d638b6e1dda11d509730a65,2024-10-01,-4800
bca-c9534da84f68fb00f51f93e9e73fbc7f,2024-11-23,39900
bca-05ba395548cc80d6a295354ef1647580,2024-10-17,17600
bca-e731e4af052a1bb98a54f336e8cec117,2024-10-26,81000
bca-9fa370dca3f092740e6d3c61ef7332ee,2024-09-04,59200
bca-4cab7419938932ac030b55f3a4c28d73,2024-11-16,83300
bca-c0dcca90d50fc949323a0572108e5650,2024-09-02,67100
bca-660ec46ac028fa9ab49ed25e40f73d1c,2024-12-08,62500
bca-7627a97c6dc06e198e0e76928f56231e,2024-09-13,-76300
bca-fcfe0794c6d68dd2e2d7eb0c9db40fee,2024-09-27,20500
bca-a25d13e137766df1b7ffdcc9966bdeb1,2024-11-08,81200
bca-75294f96bda646c5257d725af2a01e50,2024-09-15,6900
bca-0d13d7eff3792a94a68af75641d657a8,2024-11-03,96300
bca-4df28243983accaa4fcb95348cfe3ecb,2024-09-03,-12000
bca-329878d53a57952ca1f0dfd6f66c4d78,2024-10-09,-33800
bca-e0ea04466c403605334873e9a8dccf05,2024-10-13,93100
bca-ab06d6ffe5e62c960257f9765102e954,2024-11-09,31400
bca-28fe055926b0a73e6ea2edc367ae7ff2,2024-11-12,-51800
bca-ba0152657c2047b15fb00def91edc670,2024-10-12,8500
bca-427b96adcaee20204a5309b395e68ee5,2024-10-22,-23000
bca-e14f97bfe37da634f268b1610a890157,2024-11-02,85300
bca-18c8acc64e055a6952180a7e7b158cee,2024-10-20,70200
bca-fe0a858355253c537546253618e1916a,2024-10-03,-79500
bca-cebacef85204d6b5a7b9c717669467e7,2024-10-19,50900
bca-449d61413e9fe4856d01312108a91edf,2024-10-30,92800
bca-e1825160e475207072e8c303b83e5064,2024-12-11,22100
bca-2919753e7bdd1d2eefda252e3696daf4,2024-09-11,64100
bca-e73381435ef48eb255782179506ab8b8,2024-10-16,31500
bca-5a23ccbaabdeb26a12aa576afd6a183c,2024-12-06,69200
bca-671a6a097a42e475290641e6d31a8e75,2024-09-06,66900
bca-aa376b340b2036c4cbdf30187a3f73e4,2024-12-07,58800
bca-3cf82af37c74b4d0e43ca7ef46a366bb,2024-11-27,49300
bca-b9d7ed15afae2b0f96bc283ef12a1d9f,2024-09-26,-86900
bca-3340e82852c2e095cdd86b776f377afe,2024-10-27,43100
bca-0043a41369d65fc6bd52092c73af38e2,2024-11-25,20200
bca-5f6abf0d634d8a50f521056fb85b7c87,2024-09-13,63400
bca-e3f12c778031ae7b6c69d5949c646bae,2024-11-16,32800
bca-a6a4f69bd85f218e0320eda3b8d41e52,2024-09-25,44600
bca-1fe2db99a1768c2c06098456aa4285bc,2024-11-14,39100
bca-a62ad72926a99942e4664c450947fcda,2024-11-06,8900
bca-ab09e9a00d4bcdf5a00de762838fc3f8,2024-08-21,-33600
bca-e87a8bb4ca4f915441625f1f2a6e8f98,2024-12-11,36100
bca-a1c5dc019bb5e84872097f4437ec1459,2024-12-04,37600
bca-1d235a46e472dacc877369da393cf9b6,2024-10-31,30200
bca-5ed98349fc3dcc3246b3a4bc5aa4769b,2024-11-08,44900
bca-d43e47d25efbc371d74f36a10c8d673d,2024-11-09,36100
bca-91f47be795a7832dc9c18171f2514dc3,2024-10-28,-50600
bca-7a78a962549f3aa0cd5370e8f72c8048,2024-08-28,82400
bca-c9dc54de15b6dbb0135f231924cf457c,2024-09-14,81300
bca-3c96189c869438b7a4cf36180e88a693,2024-09-17,94700
bca-de2a68994995f5b60b2f905d567372f5,2024-09-08,50100
bca-3f759e48ea4ab8a71ae80d9b2c125123,2024-09-01,32900
bca-b96e4b8bf1e252d968b3173c546c4341,2024-11-21,17700
bca-1c3a5d53f6ba738b33775562653d288a,2024-11-16,22300
bca-0d37059cd07edcfc8fb119d691797170,2024-10-08,74600
bca-4fc405da5660f333598028c3c52ea997,2024-11-03,3900
bca-e23f01f322c8893ea1f59aae627c3d08,2024-09-17,76800
bca-600bb5358b62208b8a5e08bdae7986f7,2024-12-06,35200
bca-7af875d72196e8766cb28a508b4b20fd,2024-10-07,17300
bca-540e3d74b4d853e596db5c185f07ce36,2024-11-27,64300
bca-f44ce5149b9e694ccf880e8f40ec06d6,2024-10-01,60400
bca-12ccea50c860b043f9213e8dee28f7f7,2024-10-09,36100
bca-39465ad3d655e10abc6b0c87661d6a77,2024-11-08,8200
bca-a528cc18b1b0ce815ab1de723bbd7e2b,2024-11-18,17500
bca-4ab0ffc0a0425f41b99e02569520d85a,2024-10-23,53100
bca-6703001e37db716c11908f362821b0fc,2024-08-15,-44100
bca-cad1125ed2d6660a7da071084f00fa9e,2024-11-07,-52300
bca-d79b5e45ca5c2449d74c6e14cbd76b8f,2024-10-30,1800
bca-b666976eaa54a837e4a719ad6bcc01d6,2024-11-29,76700
bca-716c7653c739781b7e92e9e9c6f9cb03,2024-09-03,80600
bca-3d1d49d3c2c6b7408c3ea2cbb51aa2b0,2024-11-24,89000
