BNIUniqueIdentifier,BNIDate,BNIAmount
bni-ec96fd007a776c0b5830e97f802719bf,2024-12-02,59400
bni-f111669fcba8cfa76f063c116c784ebf,2024-12-02,75300
bni-4ec2c2ae48ad5e2d67a85dfcb1e4b7bb,2024-12-02,28400
bni-a7cde6c467a7eab4c1d015bff02dac39,2024-12-02,86800
bni-baf0eedf7f2e3eb2ea2a6e3f84255d06,2024-12-02,9700
bni-5c747939e0e32fbd4c9eb07c31536983,2024-12-02,26400
bni-163ec216d80b16356451bbae25d28cf0,2024-12-02,6800
bni-569b4e42db1174b9ff5cbe282c77ae00,2024-12-02,-31000
bni-67ac6b6e5caa94247fb5057257d567e5,2024-12-02,61500
bni-e5cfc03bcd0bd11ff266fe70fc0bf875,2024-12-02,51300
bni-020c6714249a112e3fc3dddd32822006,2024-12-02,11400
bni-d844f71f7595254e980228e8cecc517b,2024-12-02,29000
bni-761d3358142857619090e059b1f0b16f,2024-12-02,92600
bni-2b1637ce351b4a3decbe58ca507410fc,2024-12-02,-52500
bni-c8ad86cbbdb8bf3d048110a39474d26f,2024-12-02,4200
bni-1fbeb72d9739351a6a1f41c6b7ad1842,2024-12-02,-35100
bni-64892201125220a8b10d9e8d6add5f48,2024-12-02,16800
bni-e4763fb457a8225e65e1ea02071d17da,2024-12-02,60200
bni-a11c9a228bc895990ca19a390bd829dc,2024-12-02,43900
bni-c252dba064620c360c95de95d45adcc0,2024-12-02,39300
bni-29f069607d1e84d84fd05cfcc2311da4,2024-12-02,91200
bni-e302c123e54d367a742458af5add36c4,2024-12-02,49500
bni-26f371a05aec42eb5b8f60884fb5e7db,2024-12-02,45800
bni-e99d793bc631dbf9a603035804b4e773,2024-12-02,-46500
bni-bf82c83d6c49483b2ca935e9f574fbad,2024-12-02,93100
bni-01c25a24907d04a0991a13452240165b,2024-12-02,8500
bni-b5189ecdec2fc96954d7ed6ed2c2f913,2024-12-02,1800
bni-8403d01d22818db0048ca727fd8cac69,2024-12-02,47000
bni-4e7d0e842cd53412468be254eb91306a,2024-12-02,2200
bni-5582d83d11e63b727dca6d3b38635094,2024-12-02,93300
bni-75dc676e61a6d421e09982d1ed3bf787,2024-12-02,-52200
bni-b9cb44db97f954ade7925e570a0b505b,2024-12-02,46500
bni-6c2e47637c4a9785cbecc7c38445b1d2,2024-12-02,28000
bni-0c89fd920ee5df412e7081450e98f4ba,2024-12-02,17400
bni-a4819a4fdb9fb81e870d3e45a795ef74,2024-12-02,74900
bni-8599004d6eb9bb515d884fd6bd5a3e0f,2024-12-02,21100
bni-706e5ddc55abc2c3914d399ad5e77e07,2024-12-02,28600
bni-599244e5bcb422bdda0872104b5fab87,2024-12-02,91200
bni-fcd90a6a23c7e7e9dda1469e962cfa41,2024-12-02,91900
bni-d3513be418afc8916993ac3594942c94,2024-12-02,-45400
bni-de32eaca04d762b9d2a593171c3a5da2,2024-12-02,-59100
bni-1d18d6876436c347f3748df0617d0972,2024-12-02,80000
bni-3decd46faeddf5a50bd8c774faba79b1,2024-12-02,44900
bni-f1b3f6ea392816a0f48d1ce7b575a1fb,2024-12-02,85600
bni-e3f8bcf22279f5e31c1a13169f07a946,2024-12-02,71300
bni-05dd3a0588186b531427db6cd5dc5afa,2024-12-02,45600
bni-ae7d2acbdc667284b5a1f047d1efa4ce,2024-12-02,98900
bni-1e745e66ed0aee51e105c5dc0d40d530,2024-12-02,73300
bni-a26249ed93eb670f2fad17a030cb68e0,2024-12-02,60700
bni-dc46e8336b3b0c8bcbb72df844f8cdad,2024-12-02,16000
bni-31a515d706e2d494ab227c0700d25715,2024-12-02,-78200
bni-cf37f4e43f2b6a6919097283a1d6c2ed,2024-12-02,95300
bni-8c1147f516ed062a167f98a025e59baf,2024-12-02,-18200
bni-153f1f0dddc670a06237b52cda8fd8ec,2024-12-02,-60300
bni-464e313aa9b69273b5126a8cca5296b5,2024-12-02,-87500
bni-a146849d997d4ee891be05d408ed4579,2024-12-02,71300
bni-97859c9949bcc682b3dccde2886a2b15,2024-12-02,-71700
bni-1d88512ce808a2a9572b38a853d81ef0,2024-12-02,17100
bni-9a4c2a21c5ef7348148de13da64176e7,2024-12-02,48500
bni-0f92fc521df8bd1b0b54b54deb86af31,2024-12-02,92000
bni-0a7431c50ed703a669b842e5885a6557,2024-12-02,42500
bni-96e595d6b93f5f78d614306866408a4d,2024-12-02,17500
bni-9120ad27d68455e03597717c24e51a08,2024-12-02,44600
bni-57db110fa99e79e1c2f580f312d7a967,2024-12-02,-55200
bni-be9a87f528464855ba3335de8aecdaf8,2024-12-02,49800
bni-3b7eed5a0fe3554987f4ae8e51a1037d,2024-12-02,68900
bni-3775883aee12bf14fabab03173ce632d,2024-12-02,67200
bni-6339d9f27954971efbf6a4c8c13167ba,2024-12-02,-28200
bni-618020cadb01b789bc4d12f8d654e605,2024-12-02,99400
bni-29a38183125c227a95ce762038a4c908,2024-12-02,46100
bni-c3b61375b2603b32c27fd843da8c892c,2024-12-02,95300
bni-4e6c685c31cda05d354807e8e26130ca,2024-12-02,-73200
bni-26fdd7bb2bf95447d005a297a3a5188a,2024-12-02,-4500
bni-09a814d5002649cd1e90c18eff13b475,2024-12-02,62300
bni-98e5eee2466b576d4ef4d71c39d05ed2,2024-12-02,51900
bni-199462ebd112f5741f6504745e801cf1,2024-12-02,-23700
bni-240a8dab9e2750832d9ac87f670840ed,2024-12-02,25500
bni-7646b5274739219151e3987aabcc8d7b,2024-12-02,19800
bni-97e8f3d17cf38302d1b8c35d7aa0f1d9,2024-12-02,73400
bni-543f09b9c071a0c7aa036224af34596e,2024-12-02,40900
bni-35ad78af61bb6cc9192210a234c52406,2024-12-02,94400
bni-72ad20014b2de61b4faf5fb6e8788ffa,2024-12-02,89200
bni-471bf5bc2efe88210f0fba719f018007,2024-12-02,89700
bni-5762d806f7ee8986e1a8856228e04ab5,2024-12-02,80000
bni-2a2d28ef1edd35ade441bb051f7f43bd,2024-12-02,48600
bni-28163524f21b371eeff094aa506e96d8,2024-12-02,-41300
bni-8ed855f4cf6865b4a3f55c081f751ac2,2024-12-02,31100
bni-6d09001a2880360fcff468ce1935758d,2024-12-02,49900
bni-940ed2d4ab737db8757e46fdee2195f0,2024-12-02,88200
bni-144f472a2255fcd93713c51d4cd61b4e,2024-12-02,-70300
bni-ee5292e4238c8cd2baf21eed594ea48f,2024-12-02,5600
bni-1f1ab3c644b0f21537129462a59e36b8,2024-12-02,28300
bni-9c7a3957034067b9d71c52031047b76d,2024-12-02,53800
bni-6571bae27e02c1e801e9c8f1f30be446,2024-12-02,-97800
bni-bbaa5296b23610d80e04620f9c67363a,2024-12-02,39300
bni-7895ddca12ef576c17174b6dfa35587b,2024-12-02,55000
