UniqueIdentifier,Date,Amount
bri-b23485e192437a7db10f89be6c832661,2025-01-25,-98200
bri-10004191ed464550020d96ba24b5a25c,2025-01-22,32400
bri-2a5b4e741d74dd88640be0bacb48a5a8,2025-01-28,32100
bri-0b593187711c571415951a695269ff25,2025-01-15,97300
bri-041a9538a7e0b507f80388e2d53af93a,2025-01-28,-49600
bri-b88b3d865d9a0c48a291af4622ffc024,2025-02-03,91400
bri-340fd895061e240da60bffbadd97c18f,2025-02-01,36000
bri-9866db971ac359e830a1f7a2347ae813,2025-01-28,12300
bri-0cfb1d93f88a277af3773b767ad391fd,2025-01-16,2400
bri-62db4cadff3522a8df4b3e02dd4d0ea7,2025-01-24,23200
bri-030c98d96bad440deeebecab7deb812a,2025-02-03,56700
bri-1d5f75297034de11455944be6f25ce13,2025-01-24,79500
bri-46e47d7179d62eefe103d75d5555241e,2025-01-18,-48900
bri-3a62b6fb727712fc6dba72d97a744d8c,2025-01-25,30600
bri-42ad2104293daa3ebfddf543341ca582,2025-01-21,6600
bri-6e3e6b4405e58037288a889347ae31c5,2025-01-20,9800
bri-428812d3b89cf22e9183c02cd22fae5f,2025-02-01,98700
bri-1dce2138a3362ebdd5df61d31a8bb9cc,2025-02-01,-24600
bri-9e196dcb7551fed4a4a627ec83736835,2025-01-30,90400
bri-99d9d7769c9249040e58549402be6c68,2025-01-18,45600
bri-47cb446168da7f90ad794490c71e41fa,2025-01-27,-23000
bri-e090f940f3e21e8ce9a99cd8d4c39a6c,2025-01-20,35000
bri-d8bd2386a13c3956ad7bfc736656b946,2025-02-02,76700
bri-e74681a2f00aa6bb610a8d4249658a54,2025-01-22,55600
bri-a093bd9e8f2748eeabd09661671cf0a6,2025-01-22,60100
bri-47db8f19b0f9b9632cd892ec23c6e75d,2025-01-16,8800
bri-58401a1a5e8a9ca2625b1af32e9b28ef,2025-01-23,31700
bri-f541e251c5e0189cb769ee85dfcae131,2025-01-30,34000
bri-e138ac766cb5aa2f9af9ce2ac75e1699,2025-01-15,18300
bri-c2d262676d6d679b4553814f5b9f0225,2025-01-24,70100
bri-47f31e1c4ebe1750794c8be27b3c95e6,2025-01-26,89100
bri-46fcc9f2571d082be7973160c500824d,2025-01-31,-52600
bri-d491557b0a2c78500a001f1970da1e98,2025-01-20,-41800
bri-ea65f047ebd8510b964e1328f3003587,2025-01-25,-34800
bri-200df1ae79e7f0cdd408336130006baa,2025-01-18,33700
bri-25aac684260d3b25bac211ab862f497b,2025-02-02,68200
bri-b5a02ad91af6c7fa09c8b87ddb5c928a,2025-02-03,89800
bri-4760e3ab05a9b62ae03134861eeb9c64,2025-01-31,86700
bri-3fcb210da1c98a2000c9e88ce74ff9ad,2025-01-22,-52000
bri-e9f12646e49dff3e21b1dec154e5aa2d,2025-01-23,30600
bri-6a16b026ddc5782739e6fed87e262dbe,2025-01-31,24300
bri-3006d06da1156ef30bcde79339311c35,2025-01-21,89200
bri-668cb1a6b778337a9ce1318be74a310d,2025-01-17,-40800
bri-c6e5c180767bde07659cfbd1c97fd618,2025-01-20,55700
bri-1fbfdf38239ae45d7973978451e7bae0,2025-01-14,6000
bri-2488fe8eebeb9a58447fa0b62b873479,2025-01-15,67200
bri-70fa7b8f30465f5f70a18146cc72d9ed,2025-01-14,85000
bri-d1b99a283ad148f5cc444c2ef1f945b3,2025-01-30,67200
bri-01c70e87bbd336c734546682fc2783a7,2025-01-23,-44600
bri-ddcbbbc53b1edc4b7ed9f8e8febe4b30,2025-02-02,-54100
bri-b407c33a156c594c7478669f7d2f9550,2025-01-21,3000
bri-2ca410659a50028a5e44026d7254ccfc,2025-01-29,74200
bri-024de65310e828c47f9e842518f14561,2025-01-27,28700
bri-b48b2617c8221e3956dccfc6e68df83b,2025-01-24,-12900
bri-8945eeaeeba8f64d3f0ec1a3da9cc252,2025-01-28,45900
bri-20e502444c476600162689fc573f9361,2025-01-19,23000
bri-6fcc5c71405244eb0d7335fc088f30c4,2025-01-14,9200
bri-28267d30d7dc5ed41b0f4e647ef76547,2025-01-21,-92300
bri-b50655e43e68a4c654b18013d75438e1,2025-01-25,53600
bri-d35a3ef77b655bfd78053eec011d492f,2025-01-20,20000
bri-89efe7bde532a87793cd9ea5ca01f7ea,2025-01-25,95500
bri-a4500649ca6826b3a6f99e493efca22b,2025-01-30,42900
bri-98ba533da58f786da1cb65251b900a3e,2025-01-20,80900
bri-956a41c89b16efb2c6eb9a29f13ecc31,2025-01-31,87300
bri-911ccc64412000de861bcdc2803dc1f5,2025-01-21,97900
bri-b3dfaf83abeb326aa0621ddf0cc19e6c,2025-01-15,52400
bri-2373d0195b50cd7d3a6187330aa0839f,2025-01-24,63600
bri-0e88bebcbf1b942a7ab2b091e23eaa8a,2025-01-29,40900
bri-d8eaed38530273bedaa57228c760aea5,2025-01-31,8600
bri-ac4a532ec01b94907af4b95d0f7a62ba,2025-01-27,13100
bri-259fa72fad851a01c340b4c5aa1325da,2025-01-31,-23100
bri-c4a07f39cfe982f619c28b26ef6ce6df,2025-01-28,60100
bri-03d93883cff6bd9fe2e6b155c23fe4c3,2025-01-25,51000
bri-68ca3357a0a55b7e17270a083b50aae7,2025-01-30,31200
bri-06827f01dc69745f463ce2b7121630bc,2025-02-01,39900
bri-0a60a40a345eebe3ab821fe2963f5a19,2025-01-14,53600
bri-0a254c1f6b9c0c0b26113f10d11d5f11,2025-01-24,54300
bri-7748c6fa30d6632423782e5192226826,2025-01-17,55200
bri-9e867c0e5b0c29002cf06c9f539b343e,2025-01-19,8400
bri-741800087c380d1bf929e31239f96a83,2025-01-29,47200
bri-642b3fd34bb957da8ca8dce16ba89e9c,2025-01-17,31300
bri-83805f4116b568bfe96d9b20a7cd1a33,2025-01-19,6500
bri-b8309b75a2e187ce97e21253ad2e21f8,2025-01-14,24400
bri-7d0d53ba243a1d1c0e7241b084d5c096,2025-02-01,88900
bri-380756276cbbcdc09c5c9f5d52ebccf5,2025-01-24,94700
bri-c903e76a0ca6d2228b4fcf70cd31de2c,2025-01-30,55800
bri-bd7833ce3f91c8785e7cadb7b73e4dfc,2025-02-03,59100
bri-629720dca92495e9f660840e51350389,2025-01-23,1200
bri-25d1ab3a36af7a9a6157477239445f4c,2025-01-21,94700
bri-0aef1419ba83fbc32625a658723e3519,2025-01-31,57200
bri-a4ffbfdce958481332c36e7296dc28d2,2025-01-17,-79400
bri-8ac40f077f32b02ef0765a030b538561,2025-02-01,-12800
bri-f791d8e12aae674266ce0ea9e512ecf8,2025-01-26,7800
bri-77b84d72fb4ece989254ab657977663e,2025-01-26,76600
bri-aef071975c81f96b3df4e1da6da3c2f0,2025-01-15,54200
bri-59fc1ffca617744ff23fe36c8b30aca0,2025-01-30,94700
bri-55736ea758eca7372a979e062b8d3f54,2025-01-23,-91300
bri-a3f923edb00cfcf3e6e4e3f148be7675,2025-02-02,-10700
bri-6b005a17e2d44cbb149f354013448594,2025-02-01,3900
bri-0423ab0b092edd002f3c5d4413beb914,2025-01-16,28600
bri-cec4c4150663da67e93e883a8d646525,2025-01-22,-14700
bri-08621307ff858e84a16b2b0849eb375b,2025-02-01,86400
bri-35e340ed7f67274e43655d0d87c77f1d,2025-01-21,84500
bri-b36128127a007c9c24d7b6a24fc8c9a3,2025-01-22,-26500
bri-3c0813cad8fea29f46bbe599d6b50805,2025-01-21,59100
bri-0550b758e3029ccac10657091a0a6559,2025-01-18,-73800
bri-acb4b0c04afbff57e66820c5da0b38f2,2025-01-31,61300
bri-d9277f6a224480da350b78cb6a10f678,2025-02-03,-30700
bri-ae69c9d18bac626fdd92d254eda087bd,2025-01-19,30800
bri-1d62af285910192bf58268a0540b3cb7,2025-01-26,71400
bri-5494dc8a4675135320bf30c717a0b9a8,2025-01-30,79400
