UniqueIdentifier,Date,Amount
danamon-a9ac56fda02aa17384ece4bb8d234929,2024-12-17,-29000
danamon-5ce49825d1e351486a437bd584533102,2024-12-15,-62900
danamon-6e49a44e971a457752234fdd7c3fce5e,2024-11-27,73900
danamon-6ca91885a19a37257ee19e4d513a62b4,2024-12-15,25600
danamon-d5913a29cf685486b95e4780a611f9cf,2024-12-07,42700
danamon-09d2695113cc64e7d6f99c49c637429f,2024-12-03,97600
danamon-b0058a539f69cb6e3496cd672f0934e0,2024-12-17,-48700
danamon-bfffcdc8f705d8e7f16874532277e941,2024-11-30,50600
danamon-2e67e35b96385ca2132739968838305e,2024-12-19,58600
danamon-33a3e13a400bd369f1c993f6a7aa9397,2024-11-24,12900
danamon-ac63cc2fa837b76600aec4f189dcb4c7,2024-12-12,77600
danamon-8bdf205b896c0b239829596a1b9b67d8,2024-12-19,-46700
danamon-4e2af1e27674ad1a66c827bf00baa08e,2024-12-09,68100
danamon-f2e8655a024b96ea5711edf5381444ec,2024-12-17,84100
danamon-aeb9e757f4f9426fee36db37fe82c1b7,2024-12-11,-5400
danamon-06fa172e8bf272e35dcb1757b5c9b7c3,2024-11-30,72700
danamon-ebfb366ceb4618ea2a1d6661fea9ba1a,2024-11-28,98500
danamon-936bcfaca48fd619f171b7f2a1eafb67,2024-12-08,15800
danamon-ec9f996f6f4de3fa53703329fccb1b6a,2024-11-25,35100
danamon-db9f4df0fb8b26428ca8452b896f56b0,2024-12-09,70000
danamon-f900d902190e58b1c343fd6f527c4716,2024-11-23,-79900
danamon-167fa12ef60545ed6759ccd4387d592b,2024-12-04,-97200
danamon-f4bcfef0d05216daf21989a8ae66a103,2024-12-11,-53900
danamon-45ea784cb324ffdb0747ddaa21ecf872,2024-11-24,65200
danamon-25548e768ce9eb85c87ea906a7770dc4,2024-11-26,98100
danamon-1e6b86cde27321655974f729629847a2,2024-11-24,86200
danamon-f8db1579704780116e88b3a28588d9f6,2024-12-21,58100
danamon-fa75c9d0804bb0aa3a394758b0927e9d,2024-12-13,-80800
danamon-97ad0553a3eb071086fd60448a6177ab,2024-12-13,35400
danamon-aed6bf402c3d78b9acce401fbd2e5a7b,2024-12-09,-25100
danamon-78f617ba54f4f7bf3009ca055ce7257e,2024-11-26,65700
danamon-16d2d44b16f208c96d1a16dae3f68f29,2024-12-09,-36200
danamon-d0075c86e3019777876c0e4f84e4fd39,2024-12-01,66900
danamon-3deb31e30b381cb93eb63247a74ec2ea,2024-12-13,-95500
danamon-3dfc2770f88e3361696c27c5aeb05e5f,2024-12-17,87400
danamon-470c3728b3fe74e41564acb88ed8a4ec,2024-12-20,44200
danamon-e9aeeb14d1c5d00d0bdf6406a80cc3e4,2024-11-25,-99400
danamon-d416351513fc80d2b51b7cfabc91c3bc,2024-12-02,54700
danamon-e690ae6488a596a5bd47609c19396e07,2024-12-16,71800
danamon-7bf667f8926d6abd00c9ee6378060f8d,2024-12-21,-22700
danamon-ef313528adb6181be430e1ae3c3e62c8,2024-12-02,71300
danamon-5d337ab61f2934304f3bf55e0456f4bc,2024-12-10,-66900
danamon-d555b45f25b9af27cbafc71846cf5269,2024-11-23,14800
danamon-f0ccf0136ea78659c9386dfe9f17457c,2024-12-14,82000
danamon-4902e2a6a318c333b11c06aee9ed2a48,2024-12-18,32000
danamon-e672d1999bdd1c114c862acaf693a393,2024-12-14,-77300
