UniqueIdentifier,Date,Amount
mandiri-0c3976b2d79cdef55033fd75d7dd0562,2024-12-13,73900
mandiri-87386a21e56198b2e82bbe7ff1bace2e,2024-12-19,47400
mandiri-7c9010fc5c40fa13024b4153a97e9289,2024-12-13,-1400
mandiri-ecd00abe7e6fc3c01a9676ce8288aaa7,2024-12-20,26000
mandiri-d7cc4c1a79d79e410fe9fc1d961f4a6a,2024-12-16,-47700
mandiri-6c487c7d0f4cbf478515ff45899d0d49,2024-12-20,-97000
mandiri-ab9d896e0e2f1a2beb3b0c7b8227ed3c,2024-12-15,61500
mandiri-e5be108018a8bf927d366fb6ce75c900,2024-12-13,36200
mandiri-4c96d7e5d265974d3ed5b66a6309e1df,2024-12-07,48200
mandiri-6e62f3113f69f5e3aa1563e00b5cb1d5,2024-12-18,16500
mandiri-b2b394500dc0d945107cd88fce2c4f88,2024-12-09,69400
mandiri-7475db2a889144393abbe919b59cf75e,2024-12-07,75000
mandiri-3b24739dd88d254614acd649bdf10cdf,2024-12-17,20600
mandiri-f1d291906a8d2d54c9da131fbade2d36,2024-12-16,-8600
mandiri-7bb426c05f7e980600dfbb2b793f9a2c,2024-12-06,84100
mandiri-ef993219c3daabc6890e00897f0ee782,2024-12-14,91800
mandiri-2f3f3595ed77c4169705b565f206f8d4,2024-12-16,-82000
mandiri-705017a641ce831cbe4aacd55ac21eff,2024-12-06,1100
mandiri-5e43d71589508fc4605223dd493053e3,2024-12-11,52200
mandiri-cb175dca90ddd15a6ac342733e4840f2,2024-12-13,44000
mandiri-a164379ba5ea0f1051b55cbd9f1a2d05,2024-12-14,-16600
mandiri-4709443c7bbb913bc95a1281e3748eac,2024-12-17,-35000
mandiri-627953d9340be8dd6240d1b58070f198,2024-12-15,-96500
mandiri-b21833b55d04e2ca57dc28b339049a28,2024-12-11,29200
mandiri-052c2509e3e81459626e31ea1dfbb75a,2024-12-10,-89200
mandiri-660b0374d80eaae041e7e9eaf8733839,2024-12-09,27000
mandiri-fa83d653331c8d0d511167a2809d4520,2024-12-06,84700
mandiri-d976de18533940e4a0dc14cd974c3b72,2024-12-16,47900
mandiri-32afcdd013ebe4abac1bed25b4315e59,2024-12-16,85700
mandiri-4694475f46581b26fc00b44ca5c82a9f,2024-12-10,22400
mandiri-62f4d190c19f3c42a1cc6d04cd384b16,2024-12-14,-54600
mandiri-3e4b87e6729c7028f2914bf914474cbf,2024-12-13,67200
mandiri-006ec5c311b0cc78434c289b800a6451,2024-12-07,99500
mandiri-625a70a86b4e2cfc3e9525ad944d33ce,2024-12-14,58500
mandiri-0aa8825dc91ab375aeca9333a076afe4,2024-12-18,85300
mandiri-455d4e73c6c75c887562caf6f00a2aff,2024-12-07,91400
mandiri-4a0c90b21e068fcb6bc6b2d2ce85477c,2024-12-20,64100
mandiri-1a4aca65c03255347d1fd72abbcbd5e4,2024-12-06,-99300
mandiri-5a83d76d4cb8a5c8c22d6bed19862f97,2024-12-13,83300
mandiri-e8140b17e33d8c51d76d5f504b6dbf6d,2024-12-07,35600
mandiri-70a53db4105a3a7fd36a77549480f43e,2024-12-15,22600
mandiri-efc9b0f9da48fc592eac5f7cba13a7e4,2024-12-07,-16600
mandiri-81626b88cf4b767ad30aa2191380f7fa,2024-12-06,50700
mandiri-88b33c8a80744151f49a8e475a3cb7e1,2024-12-08,-29500
mandiri-e10ea7097441f64adb02de41aae57c37,2024-12-10,73100
mandiri-3d4e5a98ce27c4bfa9efe53acd07107d,2024-12-12,-7900
mandiri-1070cc072f3fe00c8820e441cecbd6af,2024-12-06,-59700
mandiri-20ba2a42864084f439dba4a40494a6a5,2024-12-13,39200
mandiri-b4d05d2bd48f5baf9b65f4cc1d86b9f0,2024-12-18,-6900
mandiri-2b15be6d3ba4f303f95865400c256ccf,2024-12-08,-64200
mandiri-5b64175af47db5fa78f31bb4e7dbc60e,2024-12-15,89500
mandiri-a1b6e3fb5b273213d58b3d7ccef0e03a,2024-12-06,30500
mandiri-7058c864a57f7b890382fc079a10ed2b,2024-12-08,85800
mandiri-04e9b66c68a41a66728537cb05f73515,2024-12-09,58800
mandiri-bf7fe8124fe2e6b3a5ffa1a73e718485,2024-12-08,20000
mandiri-916c86c6e81a9b1481998e7045353725,2024-12-13,81800
mandiri-28aaa1fa9031cc55957a02a782d16bce,2024-12-10,-82500
mandiri-e5445fcbdb9e7db0633f3f7f19566acd,2024-12-09,27700
mandiri-770ee1e156fdd77f122cb12b11a33f0b,2024-12-07,62700
mandiri-5e362ba2fac2cefef21203b037804f07,2024-12-20,17600
mandiri-47296e04823aaa3823640f0f771b2d8b,2024-12-08,29800
mandiri-65f5032fa9e2fcac174cbdbe515031f0,2024-12-13,-40800
mandiri-c1cb91d11cbead05e0c9c8434fed3239,2024-12-17,-80600
mandiri-256bee2ecc0d7b17c3404c3f58ca8081,2024-12-06,93200
mandiri-a8a167bc9faaa71fb00f6005a631d78c,2024-12-06,-58800
mandiri-936374057a7baecedce99da46c93c826,2024-12-07,8300
mandiri-f294301c2abf8e9ecfd0e57ce96c3ebd,2024-12-15,34900
mandiri-17a6f00e26f0f7b357070c3d276523b6,2024-12-06,-56400
mandiri-a09d1a4d44871f6835479e7634129f6b,2024-12-06,53400
mandiri-5bd397c3433227e468fcbdd1c2bce647,2024-12-06,55200
mandiri-aad99ee7783f98bf9dafdd8e722eec72,2024-12-17,40500
mandiri-9420f4b7ec988b3c969bd5d52b337639,2024-12-16,38500
mandiri-28969f8865715eba1a67e2ec48f78ddb,2024-12-06,-66200
mandiri-6a4f60494dadaef392eb36cc0c19a5cf,2024-12-19,56700
mandiri-117a62564ce169ba401b2762b372036a,2024-12-20,-79400
mandiri-e6d9f5ca0da6dc449ba8ed194667485d,2024-12-16,73000
mandiri-e4033f93b909c056d72331cb3e368b19,2024-12-09,48600
mandiri-c37c3c3f08edb126bacfdc6d00a596c2,2024-12-07,54100
mandiri-dcd72abfcaf4eeea4389fd7690e29e02,2024-12-14,16600
mandiri-fef1d8e2101b2b79c6ed5b49545e27d9,2024-12-13,-83700
mandiri-0d2fe84d6d4a7958031d1985a6f127e9,2024-12-16,24300
mandiri-1453aca15654f8fe9400879df28ab40d,2024-12-06,5500
mandiri-aee52d1af6087adc99092202c3c37070,2024-12-16,94300
mandiri-661d2f3bd128f69090a8c0fa77ef5499,2024-12-07,30800
mandiri-192ba679673dae980ff8cb338054a0dc,2024-12-06,37600
mandiri-900064d6b6f317d16984701c65df8880,2024-12-10,61600
mandiri-d1f4882c8a2282f6da16650d6f827218,2024-12-13,-83900
mandiri-81a84ddac4549a4793e9bbe4ef9d3e7f,2024-12-11,19400
mandiri-172847e186d9ab7b61b9340403e2d6fc,2024-12-07,-41400
mandiri-f35aef209f8b2e64773e600900eb15e2,2024-12-17,84100
mandiri-a7bb1e195b2e45396df9d61d5ae39d07,2024-12-14,36900
mandiri-f09c3a3bd07b0bd69d129dd3639d36f6,2024-12-20,42800
mandiri-448754ee65acb3e5fffb346396ed55d1,2024-12-13,55400
mandiri-a8f2c6a0b3a6f1efda144a81e9dd377f,2024-12-16,38700
mandiri-c2cea35ba83b1fba054779af81cebfe8,2024-12-20,88800
mandiri-b85edbf0d74f84beb64af1f2175ac505,2024-12-09,5000
mandiri-e48c1aa212f09a58a21c77c4b1db37b2,2024-12-07,-46800
mandiri-92dede4f7d18112957a7267b910e7526,2024-12-15,75500
mandiri-f2d97d663cb9ef5e3d3f4ee84cfc5eec,2024-12-17,-80200
mandiri-570896b4bd4d466277b8fbd75040f273,2024-12-15,32800
mandiri-3edd58af5dc37a1a7f9fa4c511db1d47,2024-12-18,58000
mandiri-3fb648ff052c517222bca2cac30b835a,2024-12-10,99300
mandiri-cc98ac644eab5b50e830705cc6f60fa8,2024-12-11,-4000
mandiri-feaf695c060edb56c41fa885325202e1,2024-12-11,33100
mandiri-aacbc9775dd7469035f3653c40fdda6f,2024-12-07,63400
mandiri-4ca2c15cf7778c4a188126b319f6325b,2024-12-16,-19800
mandiri-d1da5c8bb3833bd0d9ecd589ee973995,2024-12-07,-69600
mandiri-c779b2eb8ebb722d3cbbf2187e393d0a,2024-12-09,56500
mandiri-c4fd3f2a91c8998693fe7339289562bb,2024-12-16,84700
mandiri-82db5ea1397eec2efab69e1fe4e9ab26,2024-12-20,38900
mandiri-654a1a99be6df4d7bb9bf2b050006270,2024-12-14,-4100
mandiri-356e72d935c21dd9f37447c33fd8f875,2024-12-12,10800
mandiri-1012484d1fa4664363b136a221c4e4fd,2024-12-11,21900
mandiri-c712810c3f0e016258a775fef931dc84,2024-12-06,71700
mandiri-b2bf0534ad801f60325d30c0249077a6,2024-12-18,57000
mandiri-626dee704cf8bb26a28aef867e96b3c3,2024-12-07,-12900
mandiri-770f809074045ecde0e6ce97beaf8340,2024-12-16,80100
mandiri-72ffc259f7b24059911c16393e544e10,2024-12-12,11700
mandiri-e0ba80272d9f0169db2cb24da75d1308,2024-12-08,26200
mandiri-e846a54be0027339f3e7715eba1ef10e,2024-12-09,25500
mandiri-a2ca8dc0a3946d3243f50ca5fcd04c14,2024-12-09,-37800
mandiri-fad2b1dc5f5af678a28e46ead3fdec74,2024-12-09,22400
mandiri-cb50ee0beeaf3d2fd694bebf669b01b6,2024-12-06,75700
mandiri-4eaa74ec084b0b835784085534a2cd3a,2024-12-14,97700
mandiri-1fedd681a6caadda34149e16ad87fd16,2024-12-09,-10800
mandiri-0b8f0cd93de9cd02000eb6a296a401f6,2024-12-15,-76400
mandiri-cd75ad1a5848c6f63d1f36c009986a52,2024-12-08,54800
mandiri-1fc0f4beb8896c8ee0ac66050e567e52,2024-12-11,78900
mandiri-0a028d412f0bb66ae2c4a16f6e9169e7,2024-12-08,-80500
mandiri-500b7b91448217106ec4199c740fa6fa,2024-12-13,86300
mandiri-371d5df5c406e048b5adcd24b4619518,2024-12-15,98800
mandiri-b9cbf8951fb42290cb52c5d2029b85c0,2024-12-18,32000
mandiri-f3aba6d55af0b2f2d3bd3807c99d8e3d,2024-12-12,-40900
mandiri-120edb86f1602bb72de435877bfa4edd,2024-12-13,-99300
mandiri-601688b2fae12854d45147eea0979537,2024-12-08,92100
mandiri-18af12fbdeded733b2dc4b6d55a3f388,2024-12-12,65000
mandiri-997802a7dc41b9724a981218ff38d9fd,2024-12-14,37300
mandiri-7aa068b33589bff6b8930844e381574f,2024-12-20,66000
mandiri-8e3478772c257e5eb213b8db8e130e5d,2024-12-17,15400
mandiri-c3f3995d36be681dd96aa1fbc17f2d40,2024-12-11,52700
mandiri-579fa0da64557007a7116ceaaf7e7c0c,2024-12-15,68800
mandiri-d6639baf5183c5108c7ee6357d71632a,2024-12-06,69500
mandiri-6bc8242f1127843c8616dd7a50f8a9a9,2024-12-10,10900
mandiri-7cea9d92704f463b264a19aa8cdb7ecd,2024-12-19,-12000
mandiri-bbf1810736f579ab17d88ba4125f23ca,2024-12-13,56200
mandiri-80710cbb81ed23fb3ee32f16fa9ce0b3,2024-12-06,-20900
mandiri-2642e1cd62e0328b10ca837bc6c32d9b,2024-12-15,5100
mandiri-b396689269ae6349e987d6866152a249,2024-12-17,-47000
mandiri-a4f8a8ee239033bfff787843b3088025,2024-12-20,50300
mandiri-987ff6677b8b5f1e68438e936a3c1820,2024-12-16,-77200
mandiri-e09a77471df2c9998feda74286d96acb,2024-12-15,-19600
mandiri-c6f7cd058221f11d359deae499bb2d70,2024-12-09,75800
mandiri-8c9068a8c54b6ae16b1cc6e66bf38109,2024-12-07,62000
mandiri-5d28bb4ab84e55fe0b542d446753f0d3,2024-12-18,10200
mandiri-9065299057366707350f5fab993c008d,2024-12-11,4100
mandiri-ff283956a47f9c2c91ae700587c25c9c,2024-12-10,19800
mandiri-9bc42ef12c5373ac4c9f98a80a9d98a1,2024-12-11,55600
mandiri-87dbe64f35afac62e9136fb2bc8c04d9,2024-12-14,-96100
mandiri-35601bc2399fc2df4bd80b538e6a8a67,2024-12-08,8300
