TrxID,TransactionTime,Type,Amount
001c9bd8908133ee6fb976cc1d016456,2024-12-06 19:57:18,CREDIT,60500
003395d6a032517a066e0ebb4793dfa1,2024-11-13 01:44:08,CREDIT,9900
0039119685f356825a68d84e6380fd23,2024-11-03 11:51:29,CREDIT,79500
005d3de2bb91bf4e9971869abf071868,2024-12-11 08:00:07,DEBIT,44900
00ad9133cb8c30cbbd2fe9a5eb6864ac,2024-11-26 23:49:30,CREDIT,53400
0125ddcd598e916601a79d8a24625098,2024-12-13 04:52:47,CREDIT,90200
016dd866429af5276b370c1b46613532,2024-12-21 15:03:14,CREDIT,52500
01aaf551857b70f88dd0baf874b06170,2025-02-10 07:50:42,DEBIT,72600
02d25e9bcef8c33c1c7725803171f588,2024-12-13 22:50:32,CREDIT,40800
02e618746e6ace88fe9a0f2ad542f8dd,2024-11-15 19:40:42,CREDIT,12600
02eb7b09707c7f116a63fd76881358f6,2024-11-16 18:44:21,CREDIT,93100
02fd107fbea9880fb1ad8e40aa54da01,2025-01-17 15:02:58,CREDIT,10700
031943451ab5fc789c77ef562b884085,2024-11-01 13:13:46,CREDIT,91600
03445fad23a5fa9662069cc1d96850eb,2024-12-07 01:26:17,CREDIT,95900
0368fef7c8d7dd52bebaa74624ec6b3b,2024-12-24 16:07:13,CREDIT,73500
036d49f32a2f48a41cf15e8f2d49d724,2025-01-07 02:30:13,CREDIT,13000
03c6e7d2c3a4ef73fa5c3c76742891a8,2024-11-01 10:36:27,CREDIT,6500
03ff7c17628009707fd69b641b6e5510,2025-02-16 07:25:28,DEBIT,62600
04c0052dd1c0d8455ddde0653aa7d65e,2024-10-30 02:02:06,CREDIT,61900
04f28320154baa3d6f4e5613d4407463,2024-11-30 11:04:48,CREDIT,5300
04f88c2170c30de85bc3b6c9c61b3960,2024-12-09 04:36:20,CREDIT,41400
05351e512c559100ed3e3cd94bc75286,2024-11-17 11:30:50,DEBIT,99400
0602b53dd5d9b3e8c002ce1d56daf812,2025-02-15 22:46:44,CREDIT,68400
0627a22e6f3384a879a0e42a8952fa4c,2024-11-04 00:19:20,CREDIT,14700
062a8c6a168084de1f55bbc43cc6077e,2025-01-15 15:27:50,CREDIT,61400
06a05d5cea6644c10d7d198df4bbdc03,2025-02-06 10:29:19,CREDIT,23500
06bdbdc322431fd59ce4f53341beee81,2024-11-22 01:32:35,CREDIT,50100
070492d11999546f03350bf684addf20,2025-02-04 17:41:36,CREDIT,34000
074f975b55bddcea15af41925f6c4368,2024-12-12 13:17:05,CREDIT,11500
076ca2a730d90d6db150ff84f124be4d,2025-01-02 17:11:47,DEBIT,74900
0874758486adba7db23ce5d3f87045db,2024-11-20 19:50:34,CREDIT,11500
08be919884ab90620d707665dc1a2afe,2024-11-06 21:25:54,CREDIT,35400
08e032551258c0a24f0a0a9abf365ac8,2024-11-29 09:36:18,DEBIT,29000
0a5f815ae05e7fefd10af73a879f368b,2024-11-20 20:46:50,DEBIT,25100
0a7800b0bf576c5eb56ab0d06dbc27c0,2025-01-09 11:17:36,CREDIT,55100
0af0f8b43fb1b43150ec502939d81c75,2024-11-24 10:29:38,CREDIT,49300
0b0920849d363f36e60e70238516421b,2025-02-03 03:38:44,CREDIT,82800
0b30ecc839f404aeb4a90999e423b281,2024-12-22 02:27:03,CREDIT,18300
0b3df7b3eee8bfb3cb3e336efa5a7140,2025-01-01 08:00:12,CREDIT,48300
0bc087981f1297df3b7d88206c05ade6,2024-11-05 14:18:00,CREDIT,68300
0c4f8b95d755388d01dec41b7d34f853,2024-12-21 07:31:26,CREDIT,23300
0c9e0f955a10f0720f14ad63b676bbfa,2025-01-12 08:27:35,CREDIT,90800
0cd53f3e228d81bad5afa5b2382f59f5,2025-01-23 08:46:15,CREDIT,47600
0ce4658b30c3e2b6f96bc43acfd41a18,2025-02-02 16:33:36,DEBIT,52700
0ce4f1b15778c4d99ae89482c27868bf,2025-02-12 17:01:20,CREDIT,53500
0ce82ce538efa19e8b4519ab2a817a41,2024-11-23 13:46:19,CREDIT,42300
0d0ebd77259e5d06350ff7a067690f5f,2024-11-07 10:26:15,CREDIT,60800
0d8f03ba447954b0eaa232e02ac04b69,2025-02-13 19:54:59,CREDIT,69000
0e14d9255310a8abd2226fafdfdbc695,2024-11-02 17:29:12,CREDIT,93800
0e177969b84bdb41113bba657dc6d267,2025-01-07 14:39:01,CREDIT,74900
0e49a8c29e9217cad97d8e8542bb52cd,2025-01-19 16:21:02,CREDIT,10900
0e52c7589ae8ce848fbfdc26e972ee14,2024-12-11 19:12:24,DEBIT,64400
0e6430c29cbbf083ecf7241ec2a5f51b,2024-10-27 10:55:34,CREDIT,95500
0f6e9378a476f4526a308031591a5fb3,2025-02-11 14:55:48,CREDIT,57300
0fdb16569985ab2cc6fc5b9627f7dc83,2024-10-26 20:08:23,DEBIT,66900
100406d6561d8976e8d0aa37675e8799,2025-01-24 18:19:55,CREDIT,12000
1049d261bf1dbcc3a1598da174cb8950,2025-01-28 17:48:42,CREDIT,73600
106bbac4d09cdffee047fa4524f3f39a,2024-12-24 04:56:30,CREDIT,52500
109d8690272cbc83b6a5d4e1877c7613,2024-11-05 00:09:31,CREDIT,61300
10b8231b636931efd097dffdfaa198de,2025-02-17 22:02:35,CREDIT,53900
114e9ba3df83915dbf84887110faad05,2025-01-25 03:47:19,CREDIT,20700
126c4f4b9b3f310d16c57c59d9e2e5f7,2025-01-05 06:08:34,CREDIT,10400
1275fbde06149d368892722ea7cc606f,2024-10-23 19:00:52,CREDIT,49900
12ac3fc7bef77ba2f7acea8baaa1db76,2024-12-01 01:03:40,CREDIT,96200
12d338cec56fc32c25068a498b41a39f,2024-12-03 22:02:56,CREDIT,88700
12f1539f2c6e31f625a3d5b2960f9f6e,2025-02-18 09:23:48,DEBIT,86300
1305d468e6f4e547acb58e583ca77e56,2025-02-15 00:02:36,CREDIT,24000
132e3c0c64b217e1221ec91bd7d54096,2024-10-23 16:29:10,CREDIT,29400
13536a72007cb3bb829cd54b29d78e43,2025-02-11 06:52:19,CREDIT,47700
137aa2164545b3da3d7dda65feb88a3f,2025-01-23 21:48:09,CREDIT,28600
13f04a297dfe83118de324afbe390ef7,2025-01-12 07:02:35,CREDIT,28300
1400bce63243ce7bea7e318b6815afb6,2024-11-03 16:53:04,CREDIT,46300
1409d190d70c46e6363625bca2af40d4,2024-12-02 09:15:18,CREDIT,49600
145e9960b8b86cb5593977933d586e84,2024-11-05 20:05:06,CREDIT,22800
1497e4dac5caf70e2314903f2cd63c15,2024-12-16 22:09:27,CREDIT,40400
149b245080832e2586fc23d55c27da96,2024-11-27 14:11:26,CREDIT,34100
1560ef1623418fe38239fc784e6887fa,2024-12-19 20:06:40,CREDIT,90500
159fdc8dc945ca1cc5bebe5eecb805cf,2025-01-16 20:22:57,CREDIT,45600
15bcead39ba55e1117b2b1c4854b55fb,2025-01-10 12:49:51,CREDIT,20400
15dc1410725cba1c4ed11f58d81498ff,2025-01-13 01:19:29,DEBIT,43000
15dcf63594a0b3666c5f0686ebecc3ae,2024-11-16 13:28:42,CREDIT,7700
165b6679fd961f5ab895a90d7844d9db,2024-10-29 20:26:16,DEBIT,65200
165f3e28561c3e9a626a47045047e426,2025-01-02 16:39:29,CREDIT,43200
1671d925ffdf1b2bf6a56a953215ac8c,2024-11-28 17:32:26,CREDIT,10500
16c87f36bad3d503a7fff5d007c0f837,2024-11-07 04:39:59,DEBIT,54500
